sitc06\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total - all products,-134431.7,-215768.3,-215857.6,-276083.5,-141674.9,-177463,-175468.9,-113829.2,48799.5,10352.6,59552.5,32002.1
"Food, drinks and tobacco",-11504.7,-10472.1,-14095.6,-13168.9,-11542.3,-5001.3,-2972,5959.3,10806.7,9154.6,4546.1,6811.7
Raw materials,-28827.6,-34638.8,-39911.1,-43329.6,-19347.5,-33094.6,-40368.1,-33169.7,-30757.4,-29534.9,-28648.5,-25723
"Mineral fuels, lubricants and related materials",-228026.5,-285932.5,-275173.1,-375439.2,-241239.4,-306001.1,-394625.1,-421518.1,-377844.5,-335102.8,-242938.7,-190070.6
"Chemicals and related products, n.e.s.",67457.7,74312.9,76066.6,73321.2,83079.8,95384.4,99642.1,112144.4,115412.3,113382.4,129695,128027.8
Machinery and transport equipment,86394.4,93314.2,117144.4,145063.2,106400.4,126915,205306.8,255129.8,271225.5,249632.4,215419.2,190033.9
Other manufactured goods,-26751.1,-50588,-75965.2,-61490.6,-39046,-55000.4,-51681.5,-10530.7,819,-21579.3,-48544.6,-54669.9
Commodities and transactions not classified elsewhere in the SITC,6826.1,-1764.1,-3923.6,-1039.7,-19979.9,-665.2,9229,-21844.2,59137.9,24400.2,30024,-22407.7
