geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,2469.9,3210.2,4151.1,3036.3,3597.8,4238.8,4654.1,3482.1,3184.2,2671.5,2297.4,:
Belgium,23295.3,22097.3,29973.8,20084.3,27361.8,37002.8,39918.3,45249.9,40474.3,29902.6,24907.8,:
Bulgaria,1595.5,1995.3,2500,1511.8,2102.2,2787.7,3449.6,3349.8,2807.1,2379.6,2081.4,:
Croatia,1248.9,1165,1222.1,964.6,1113.1,1154.7,1320.1,1369.9,1441.8,1293.6,1177.8,:
Cyprus,205.3,168.4,230.5,134.9,162.2,249.8,260.9,246.1,234.2,400.1,469.9,:
Czech Republic,2201.3,2438.3,3390.1,2936.9,3719.3,4455.2,4722.5,3731.5,3587.5,4269.4,2849,:
Denmark,8342.4,7869,9497,6120.4,6953.2,8090.8,9259.6,8562.3,6404.8,5151.7,3996.8,:
Estonia,1244.4,1001.9,1026.2,1073.4,1355.6,2026.3,1839.2,1243.9,1301.6,1053.1,915.5,:
Finland,3296.1,3622.4,4608.5,2948.8,4270.2,5829.8,6578.3,7196.2,6353.5,3889.6,4188.5,:
France,16273.4,17108.8,23026.9,13598.1,15471.2,20534.1,21307.5,18652.1,18188.4,14695.9,11180.3,:
Germany,23103.4,23071.3,26447.8,17371.6,20375.4,27114,31879,30736.5,29872.3,29081.1,23078.2,:
Greece,2183.4,3271,4576.2,3535.3,5421.3,7399.8,10649.4,10597.4,10257.2,7598,6896.6,:
Hungary,1062.2,1947.9,2686.7,1465.6,2030.5,2902.1,3284.6,2935.4,2839.1,2096.6,1731.8,:
Iceland,22,23,24,9,16,30,40,30,40,38,28,30
Ireland,562.3,686.6,832.1,594.8,895,1253.5,1846.7,1121.2,1235.7,1068.1,815.5,:
Italy,12204.5,14451.8,18455.7,11027.2,16410.5,19289.4,23362,18779.8,15869.3,14120.9,11455.4,:
Latvia,250.6,223.6,245.5,280,373.3,738.3,820.4,833.7,786.4,657.4,476.2,:
Liechtenstein,:,:,1,1,1,2,2,3,3,4,4,4
Lithuania,2668,1680.3,3966.9,2519.5,3672.3,5141.1,5690.7,5713.7,4335.3,3781.7,3174.8,:
Luxembourg,81.7,89.6,101.5,111.2,99.1,95.8,96.4,94.6,87.9,54.9,7.4,:
Macedonia,164,118,35,142,171,249,167,71,48,43,38,61
Malta,9.8,287.7,345.6,419.7,641.9,987,945.4,513.9,192.4,311.2,222.2,:
Montenegro,4,3,3,3,15,47,39,90,44,39,41,33
Netherlands,51385,53140.7,72596.9,48387.2,64087.5,83521.6,104516.5,101571.3,88317.3,66959.2,58547.1,:
Norway,7758,7851,6651,5040,4592,7774,8358,6544,4742,3888,:,:
Poland,3968.3,3899.4,4932.8,3012.9,4954.1,6633.4,7164.3,7338.5,6874.1,5884.3,4595.3,:
Portugal,1887,1724.6,2157.4,1540.3,2389,3070.1,3760.6,4922.8,4016.9,3855.2,3172.7,:
Romania,2597.1,2235.1,3059.2,1735.4,1978.5,2598.4,2632.2,2728.4,3336.3,2579.5,2205.1,:
Serbia,131,141,203,185,206,242,167,254,155,138,134,162
Slovakia,1898,1993.9,2435.4,1826.2,2342.9,3608.4,3675.3,3591.9,3057.1,2484.8,2298.3,:
Slovenia,505.9,429.2,652.8,529.1,801.3,1291.5,1379.5,1433.8,1486.4,1386,1248.1,:
Spain,8834.1,10163.9,14223.3,9188.3,12590,16486.3,23038.7,22819.3,24438.4,16956.5,13794.7,:
Sweden,6955.8,6773.6,9875.1,6126,8979,10718.8,13505.2,10674.3,10850.7,8306.1,7589.5,:
Switzerland,195,185,267,161,210,263,330,313,321,250,200,254
Turkey,1786,2552,3642,2119,2719,3455,4131,3339,2969,2757,2014,2672
United Kingdom,35566.9,34087.6,42902.2,29010.2,39673.6,47393.7,51990.9,47000.5,41814.4,29943.9,23709,:
