partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,-4267.3,-4880.1,-5869.1,-7252.7,-5561.9,-5649.8,-5749.4,-5677.8,-5094.2,-5090.7,-5386.3,-5483.8
Brazil,-6713.7,-6901,-8744.4,-9039.1,-7839.1,-8725.1,-10601.8,-10341,-9549.8,-9025.8,-9588.6,-8402.9
Canada,389.5,526.4,473.4,492.2,513.2,849.8,797,1192.5,1142,597.4,884.9,1215.2
China except Hong Kong,-1479.4,-1932.3,-2184.2,-2244.4,-1778.6,-1792.8,-1131.1,15.5,563.3,1269.7,3251,4488.4
Japan,3550.8,3600.7,3670.4,3844.7,3418.2,3747.2,4184.3,4655.6,4585.1,4698.8,4687.5,5050.7
Norway,-898.1,-1107.6,-849.1,-597.1,-834.8,-1425.2,-1046.8,-754.3,-1174.2,-1543.8,-1977.9,-2899.2
Russia,3965.2,5166.7,5872.6,6711.7,5434.9,7573.1,8107.7,8462.8,9178.8,6429,2938.5,2868.4
Switzerland,2083.5,2085.2,1970,2273.3,2074.2,2195.7,2213.6,2157,2388.3,2436.9,2635.5,2802.2
Turkey,-2209.6,-2259,-2082.3,-1984.7,-1818.3,-1589.5,-1102.7,-1334.7,-1906.6,-2133.5,-2503.2,-2307.9
United States,4709.6,5860,5320.2,3990.9,4464.1,4955,5349.3,6859.9,6322.3,6604.2,7811.4,9820.9
