partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,4320.3,4941.3,5944.6,7334,5634.5,5754.9,5865,5815.2,5222,5214.4,5531.1,5652
Brazil,7074,7344.1,9265.5,9639.4,8440.1,9589,11597.9,11457.4,10715.7,10282.2,10804.5,9594.4
Canada,1231.7,1326.6,1426.3,1457.9,1319.8,1296.1,1500.9,1404.5,1465.6,2033.4,2032.6,1812.3
China except Hong Kong,2276.5,2816.9,3374.6,3566.7,3322.9,4030,4464.8,4346.8,4354.3,4364.9,4837.3,4949.6
Japan,113.8,116.4,111.6,119.4,136.1,165.8,151.2,154,151.7,175.5,219.2,271.6
Norway,2578,3021.3,3066.4,3012.5,3226.3,4119.3,4150.6,4267.9,4922.5,5335.9,5790,6818.9
Russia,662.9,790.6,896.3,855.1,646.9,607,999.7,1443.1,1258.5,1514.5,1548.5,1588.4
Switzerland,1694.3,2054.6,2412.5,2726.8,2895.4,3206.5,3608.6,3934.4,4089.8,4163.9,4355.4,4432.7
Turkey,2966.1,3043.3,3074.9,3159.7,2948.3,3330.8,3446.6,3598.6,3768.1,4171.6,5094.9,4796.2
United States,5451.9,5508.7,5893.4,6030.4,4796.9,5828.7,6592.1,6623.9,7469,7958.5,9459.6,8526.5
