partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,3523.7,3649.8,3741.8,3755.7,2967.1,3821.2,3813.5,3763.5,2994.7,2691.3,2870,3299.8
China except Hong Kong,75430.5,94239.3,107979.9,115297,101966.2,145132.3,145849.6,146151.7,139211.4,146896.7,175952.1,173858.1
Japan,55100.8,57886.1,57523.5,54030.6,39287.4,44531.2,46118.6,42193,37363.9,37441.8,39676.3,43598.4
Norway,4169.8,4494.1,4291.7,4898.2,4642.7,4240.2,4067.4,4214.9,4804.5,4153.9,4752.4,3571.5
Russia,1256,1193.6,1489.6,1468.7,1157.8,1367.5,1698.6,1977.5,1937.6,1987.1,2357.2,2331.5
South Korea,28304.6,32882.8,32412.1,28709.5,23172.4,28950.1,23268.6,24410.9,22239.3,23743.4,26417.6,25075.8
Switzerland,18020.4,17317.8,18317.7,18879.8,14746.7,17051.1,18724.8,17652.6,17312.6,17940.1,19123.6,19502.3
Taiwan,17646.8,19090.4,17898.8,16459.5,12044.6,16532.1,15803,14321,13551.4,14240.2,16149.8,16288.2
Turkey,12801.2,15365.4,17635.9,17678.5,13862.2,16092.6,17832.2,18059.3,18847.7,20902.4,24398.6,27192.4
United States,76848.1,76988.6,79623.7,75902.7,62233.3,68342.8,74015.3,81412.2,77744.5,83299.9,105861.5,112450.7
