partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,1052.9,1318.6,1766.7,2181.3,1862.7,2127.4,2595.6,2537.2,2273.4,1756.7,1782.5,1672.1
China except Hong Kong,5208.6,6310.1,7580.3,9341.5,7969.7,11047.1,13085.6,13013.2,13161.5,14289,16265.3,16034.3
India,2006.7,2386.7,2990.9,3332.9,3008.3,4049.4,5197.1,5295.3,5640.4,5755.8,6436.3,6512.5
Japan,6044.3,6162.3,6542.2,6080.4,5584.8,6519.4,6891.1,6505.5,5947.7,5755,6308.3,6772.6
Russia,3660.8,3995.7,4435.2,5275.4,3325.3,4714.5,5779.7,6333.4,6297.7,6322.9,5435.4,4446.2
Saudi Arabia,2018.5,2524.5,2595,2501.3,1627,2866.5,3442.7,3700.3,3833.7,3480.6,3396.4,3213.3
Singapore,5857.5,6137.9,7470.4,5613.3,5065.3,7379.4,7909.1,9868,6280.9,5555.1,8418.7,7707.1
Switzerland,21380.1,24255.3,25394.3,26114.6,27149.8,29675.4,32702.6,33841.1,33611.9,36172.2,38738.8,41912.9
Turkey,913.9,1200.9,1364.2,1604.5,1353.9,1841,2140.7,2331,2338.4,2606.7,2913.1,2784.8
United States,31209.2,34576.3,35921.2,35811,33656.1,38987.7,40630.2,44035.6,43524.3,45952.9,56631.1,56676
