partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China except Hong Kong,74376.4,88735.5,110151.4,115975.6,98865.3,119510.3,126753.5,124176.6,119493.4,132725.5,149121.9,145345.6
Hong Kong,5148,6538.6,5684.7,5246.2,4176.4,4658.1,4744.3,4750.9,4340.3,4653.6,5870.5,5182.2
India,11764,13964.8,15677.5,15760.8,12903.6,15400.7,18346.2,16435.2,16550.5,18398,19738.2,19715.8
Japan,11378.9,12011.3,12887.4,13331.7,10920,12983.7,14033.9,13384.5,11395.1,11396.5,11881.6,12326.9
Norway,7705.6,9389.5,10087.3,9441.3,6200.6,7774.3,8253.1,8007.6,7043.2,6968.3,7663.8,7053.9
Russia,12107.6,15027.2,16202.1,14829.2,8360.9,13804.9,15382.6,14110.3,12818.4,13975.9,14368.7,15224
South Korea,4307.2,5810.1,6488.1,6923.8,5962.6,6643.9,7950.1,8334.2,8100.3,8098.6,8571.9,8718.2
Switzerland,20176.3,21390.4,23142.9,23324.6,19513.8,23710.7,27539,26610.3,28634.5,28949.5,30547.6,29906.5
Turkey,17966.8,20045.1,23100.1,21359.4,17047,19735.2,22801.5,22106.1,22874.3,24196.4,25585,26576.9
United States,32769.4,36561.5,37151.1,35939.9,30380.6,34357,36662.8,38643.8,37740.6,39206.9,46025.1,44933.3
