partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,15347.9,17284.2,14755.4,20007.5,17046.6,20328.1,27172.8,32023.5,31341.1,28478.1,19842.4,15520.9
Azerbaijan,2357.5,5078.5,7193.9,10554.6,7457.7,9971.4,15381.2,14151.6,14209.4,13051.7,10465.7,7458.6
Iraq,3598.5,5015.4,6800.1,9163.3,6364.5,7123.6,9702.7,12718.8,10499.7,11484.5,12073.4,10377.2
Kazakhstan,9013.3,11674.3,11088.4,15402.8,9735.2,14285.2,20958.6,22693,22309.9,22225.2,14252.8,10780.6
Libya,18588.2,23549.1,24763.3,31769.9,20564.6,28799.8,10268.6,32722.4,22940.3,12280.5,6868.3,4560.6
Nigeria,7663.6,10189.8,9426.6,14975.4,9585,13480.1,23236.8,32043.7,27680.6,27146.6,17565.6,9780.3
Norway,40426.2,48724.4,46283,56378.9,37613.4,44837.8,56284.1,59119.2,52940.4,49605.8,37119.3,30875.5
Russia,77102.9,96820.7,97955.7,126063.6,89002.2,121297.6,153494.6,164369.6,160648.5,136749.3,92380.5,78147.1
Saudi Arabia,18822.1,19894.8,15263.1,18838.3,9459.9,12567.3,23992.6,29983.2,25207.2,24254.6,16506,14544.7
United States,3330.1,4278.2,4208.2,10282.3,7806.5,10017.6,17057.3,19694.8,18934.7,16324.7,12188.6,10405.3
