sitc06\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Chemicals and related products, n.e.s.",96384.3,109170.9,120696,124286.5,112513.8,137322.4,155274.5,163387.8,157901.6,165392.5,185492,185160.2
Commodities and transactions not classified elsewhere in the SITC,21805,29343.2,30261.7,43339.6,52705.9,49466,56263.5,72864.8,40355.6,43207.3,46331.7,79982.1
"Food, drinks and tobacco",62982.8,67831.7,75671.6,80989.7,73842.4,80752.4,91470.1,93062.3,93613.6,98425.4,108640.2,109104.4
Machinery and transport equipment,385896.1,412636,429040.5,425879.6,352904.8,444091.2,443505.9,451569.3,437917.6,460215.6,537962,555107.1
"Mineral fuels, lubricants and related materials",273965.2,344894.9,341875.3,460170,299893.7,384997.4,494839.5,547273.3,499756,444544.8,328526,264839.7
Other manufactured goods,290356.5,341416.9,382709.5,375179.1,296498.4,364137.4,403227.5,389876.4,381924.8,408257.5,451542.7,450094.5
Raw materials,52518.9,62960.1,70085,75386.2,47277.2,70751.4,85398.8,80723.6,76232.2,72846.4,71826.2,68268.1
Total - all products,1183908.7,1368253.7,1450339.7,1585230.7,1235636.2,1531518.2,1729979.8,1798757.5,1687701.3,1692889.5,1730320.7,1712556
