geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,4796.6,5126.9,5625.7,4338.5,6277.8,7332,6850,6406.8,6215.1,6058.2,5845.7,:
Belgium,13515.2,15065.4,14230,10068.4,13701.2,16462.5,16164.9,14747.1,14841.5,13632.9,13721.3,:
Bulgaria,1440.9,1691.6,1785.3,1226.8,1744.4,2441.5,2387.5,2486.6,2258,2270.2,2003.3,:
Croatia,349.6,371.1,507.5,303.6,312,349.7,355.6,364.2,397.4,436.1,442.3,:
Cyprus,93.6,119.1,124.6,89.1,92.6,92.7,84.8,68.4,71.4,72.7,80,:
Czech Republic,2153.8,2202.3,2764.2,1898.2,2707.7,3469.8,3329,3250.9,3170.8,3109.9,3117.8,:
Denmark,2374,2498.1,2527.1,1996.5,2314.3,2697.6,2803.5,2857,3018,3086.5,2917,:
Estonia,406.2,467.7,362.4,264.1,319.2,386.9,496.5,541,544.8,519.3,541.7,:
Finland,5204.5,6227,5334.1,2739.6,4732.5,5320.2,4019.5,3946.6,3972.1,3647,3670.7,:
France,11509.9,12441.5,14033.1,10140.2,13109.8,15335,13971.4,13733.4,12939.5,12999.3,12746.8,:
Germany,29672.1,33251.7,34152.9,24653.8,35655.9,43362.3,41181.6,39496.3,38492.1,37469.6,36716.7,:
Greece,1453.9,1862.6,2026.8,1310.6,1505.2,1674.8,1610.2,1495.9,1505.6,1405.9,1364.9,:
Hungary,1115.1,1242.6,1443.4,950.3,1468.9,1942,1935.5,1852.4,1763.2,1797.6,1806.5,:
Iceland,274,343,551,367,466,505,490,488,469,591,499,632
Ireland,1232.2,1271.7,1040,759.7,858.9,973.5,943.9,907.3,944.3,1098.9,1068.1,:
Italy,18479.6,18685.1,19190.4,12839.2,18378.6,21510.4,19505.3,18972.4,19289.3,19233.3,18343.7,:
Latvia,361.7,514.6,487.2,276.7,405.4,511.9,823.8,632.9,641.5,621.8,569,:
Liechtenstein,:,:,17,13,16,16,18,18,18,18,18,21
Lithuania,560.8,647.9,923.1,549.6,684.3,907.5,956.8,1044.5,1076.9,1184.8,1196.3,:
Luxembourg,1265.6,1310.5,1434.2,846.2,1503.4,1829.4,1547.4,1433.5,1345,1209.9,1152.2,:
Macedonia,131,250,155,178,258,317,294,213,245,242,181,217
Malta,40.4,35.2,34.7,37.5,38.2,31.8,37.7,34.6,33,36.5,35.3,:
Montenegro,46,57,77,50,83,99,76,63,56,59,51,56
Netherlands,15946,18250.5,21050.1,14523,20779,25077.4,24418.4,23096.3,21653.6,21828.6,21197.8,:
Norway,4128,5540,5111,3181,4401,5407,4948,4408,4373,4594,:,:
Poland,3432.7,3978.2,4880.4,3281.4,4528.3,5903.1,6056.3,5839.2,6072.5,6205.3,6259.7,:
Portugal,1955.2,2259.4,2643.8,1871.4,2423.9,2855.7,2638.5,2812.1,2661.3,2736.9,2662.8,:
Romania,1099.4,1491.4,1829.3,1076.9,1647.5,1965.3,1979.9,1939.9,1851.5,1974.2,2139.1,:
Serbia,524,526,670,409,557,620,530,538,543,717,723,984
Slovakia,1174.9,1318.1,1618.6,1145.8,1946.6,2248.1,2448.6,2167.4,1945.1,1739.5,1688.2,:
Slovenia,1097.8,1286.9,1315.8,904.7,1428.6,1580.6,1548.7,1455.3,1451.2,1435.9,1399.8,:
Spain,11677.3,12369.8,13048,8798.7,12375.8,14654.9,13808.4,13520.5,13375.6,13737.3,13155.2,:
Sweden,3768.7,4442.6,4213.9,3097.9,4194.8,4800,4751.9,4307.3,4127.2,4182.1,4107.1,:
Switzerland,2108,2052,2275,1898,2319,2311,2207,2216,2199,2276,2284,2378
Turkey,8064,9526,11924,7875,12285,15530,15919,14019,14296,12942,12263,15181
United Kingdom,12467.3,14723.3,14378,9099.6,12562.6,14229.5,13821.5,13765.6,14184.3,14361.7,13098,:
