partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China except Hong Kong,-64103.7,-76311.2,-96627.8,-101594.6,-84125,-100981.4,-104056,-99307.7,-93313.9,-105622.2,-120950.9,-115885.1
Hong Kong,2193.3,1374,2547.2,2979.7,3025.8,4974.1,6458.4,7455.7,8198.7,9114.5,9480,9703.2
India,-1517.7,-4008.3,-4217.5,-3944.2,-3165.6,-2218,-2101.7,-1358.8,-1378.2,-3829.4,-5360.3,-5836.4
Japan,1326.2,1273,-1047.5,-2261.3,-1710.1,-1952.3,-1959.5,242.1,1270.8,1363.4,1270.8,925.4
Norway,2955.5,2641.5,3445.9,4138.5,5345.7,4450.9,5479.1,7039.4,7897.1,7929,6868.9,7165.7
Russia,2685.4,3927,6851.8,10974.7,8018.9,6522.3,9279.4,13291.5,14617.7,10670.3,3499.2,2195.3
South Korea,1782.4,749.8,-708.5,-1080.5,-1067.7,-884.1,-1216.8,-659,-136.9,208.9,554.1,466.5
Switzerland,6427.1,7815.5,8360.3,9865.8,9071.1,9756.8,11380.2,14406.9,11573,12189.2,13194.2,14008.7
Turkey,-7733.2,-8310.7,-10096,-8575.2,-6542.8,-6070.2,-6965.4,-5551.1,-5405.2,-7211.7,-8282,-10082.5
United States,25443,24500.2,21506.6,16783.2,10006.6,16565,19592.4,24281.2,25372.3,29550.4,32598.7,32347.3
