sitc06\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total - all products,1049477,1152485.4,1234482.1,1309147.2,1093961.3,1354055.2,1554510.9,1684928.3,1736500.9,1703242.1,1789873.3,1744558.1
"Food, drinks and tobacco",51478.1,57359.6,61576,67820.8,62300.1,75751.2,88498.1,99021.5,104420.3,107579.9,113186.2,115916.1
Raw materials,23691.4,28321.4,30173.9,32056.6,27929.7,37656.9,45030.6,47553.9,45474.8,43311.5,43177.7,42545.1
"Mineral fuels, lubricants and related materials",45938.7,58962.4,66702.2,84730.9,58654.2,78996.4,100214.5,125755.2,121911.5,109441.9,85587.3,74769.1
"Chemicals and related products, n.e.s.",163842,183483.8,196762.6,197607.7,195593.6,232706.8,254916.6,275532.2,273313.9,278774.9,315187,313187.9
Machinery and transport equipment,472290.5,505950.2,546184.9,570942.8,459305.2,571006.2,648812.6,706699.1,709143.1,709848,753381.2,745141
Other manufactured goods,263605.4,290828.9,306744.3,313688.5,257452.5,309137,351546,379345.7,382743.8,386678.2,402998.2,395424.6
Commodities and transactions not classified elsewhere in the SITC,28631.1,27579.1,26338.1,42299.9,32726,48800.8,65492.5,51020.6,99493.5,67607.6,76355.7,57574.4
