geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,182,265,703,780,1169,1400,1531,1761,1827,1728,1771,2026
Austria,108913.1,119387.4,123258.8,98213.7,115078.5,127462.4,129678.5,131884.6,134172.5,137756.8,137409.9,:
Belgium,292087.1,314448.7,320805.2,265986,307529.9,341718.2,347088.6,352955.7,355527.8,357737.2,359593,:
Bosnia and Herzegovina,:,:,3432,2828,3628,4204,4018,4285,4439,4595,4815,5652
Bulgaria,11748.1,13512.1,15204.1,11699.5,15561.4,20264.6,20770.5,22271.8,22043.6,22877.6,24021.8,:
Croatia,8251.6,9004.1,9585.1,7515.8,8905.2,9582.2,9628.7,9531.4,10431.3,11663.3,12489.5,:
Cyprus,1061.8,1017.1,1110.3,901.5,1057.7,1306,1354.1,1520.4,2373.6,2960.8,2680.6,:
Czech Republic,75604.4,89382.2,99809.1,80983.3,100310.5,117054.1,122230,122185.1,131798.9,142364.1,146999.9,:
Denmark,73716.1,75280,79495.9,67381.7,72746.7,80362.1,83336.3,83539.4,83911.7,86060.3,86136.7,:
Estonia,7719,8033.5,8470.1,6486.9,8743,12003.4,12520.7,12288.2,12083.1,11569.2,11897.2,:
Finland,61489.2,65687.6,65580.2,45063.4,52438.6,56855.2,56878,56047.5,55973.3,53951.3,52053.8,:
France,394925,408326.9,418983,348035.4,395087.2,428500.6,442643.4,437150.6,437376.6,456369.3,453306.3,:
Germany,882531.6,964038,983255,803011.6,949629.4,1058897.3,1090529.8,1088071,1125034.2,1195822.4,1205488.8,:
Greece,17273.5,19392.3,21319.3,17673.7,21300.4,24377.3,27579,27295.5,27120.5,25895.2,25445.7,:
Hungary,59935.8,69609.5,73772.1,59512.6,72024.3,80683.7,80611.6,80945.1,83266.1,88846.1,92073.2,:
Iceland,2758,3479,3650,2908,3478,3839,3928,3762,3815,4278,4026,4298
Ireland,86592.6,88685.5,85476.8,83114.4,88660.2,91554.5,92378.6,87933.8,91217.2,111259.1,118230.3,:
Italy,332012.9,364743.9,369015.6,291733.1,337407.4,375903.8,390182.1,390232.6,398870.4,412291.3,417268.9,:
Kosovo,82,147,196,165,296,319,276,294,325,325,310,378
Latvia,4901.9,6062.3,6897.1,5521.9,7190.5,9432.7,10983.5,10892.8,10957.2,10938.5,10979.4,:
Liechtenstein,:,:,2678,2038,2413,2698,2811,2753,2843,3014,3078,3035
Lithuania,11262.8,12509.4,16077.1,11796.8,15650.7,20150.8,23047.4,24544.6,24361.3,22903.9,22607,:
Luxembourg,18337,16733.5,17469.5,15298.8,14180.3,14990.1,14665.1,13869.6,14406.4,15465.4,14244.8,:
Macedonia,1918,2477,2698,1937,2535,3215,3124,3235,3747,4088,4329,5007
Malta,2226.5,2507.8,2367,2048.6,2704.9,3150.5,3308.1,2738.4,2205.6,2355,2843.1,:
Montenegro,441,455,416,277,330,454,367,376,333,317,326,371
Netherlands,369249.3,401900.8,433721.7,356962.3,433173.1,479239.4,510098,505651.5,506338.9,514309.1,516248.9,:
Norway,97331,99265,116348,90605,98432,115313,125066,116200,108817,93566,:,:
Poland,88228.9,102259.4,115894.7,97865.5,120482.6,135557.8,144282.4,154343.7,165714.9,179532.6,182967.2,:
Portugal,35640.5,38294.1,38847.3,31696.8,37267.9,42828,45213,47302.9,48053.7,49634,50022.3,:
Romania,25850.5,29542.7,33678.9,29084.5,37398.4,45284,45019.5,49570.7,52500.5,54620.2,57392.4,:
Serbia,4992,6615,7039,5628,7067,8058,8251,10413,10562,11447,12742,14360
Slovakia,33339.8,42696.5,48369.7,40207.7,48776.9,57349.5,62742.5,64565.8,65081.2,67845.3,70069.5,:
Slovenia,18501,21979.6,23203.7,18695.4,22026.9,24915.1,25033.2,25614.8,27075,28792.6,29742.4,:
Spain,170210.9,184821.1,191387.8,162990,191911.9,220223.3,229802.3,239314.3,244287.2,254599.4,262041.3,:
Sweden,117706.9,123179.1,124644.6,93763.1,119596.7,134312.6,134141.4,126157.4,123920.6,126258.2,126015.7,:
Switzerland,117506,125535,136096,124146,147511,168774,243040,269796,234799,261472,273853,265513
Turkey,68020,78126,89557,73284,85298,96973,118644,114563,118654,129555,128792,139283
United Kingdom,359116.8,322386.6,321027.8,254703.7,313765.5,363915.2,367988.7,407059.5,380282.1,414739.3,370023,:
