geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,12142.3,13038.6,13653,12539.1,14743.1,16421.5,16768.2,17425.4,18088.8,18823.5,19001.8,:
Belgium,68453.2,72695.5,71531.8,66195.9,74341.4,75384.2,79770.3,78883.2,81778.8,87805.3,86021.8,:
Bulgaria,1627.6,1918.1,2195.3,1881.7,2246.8,2642.1,2911.4,3118,3343.3,3699.1,3884.1,:
Croatia,1854.7,2068.2,2203.4,1885.3,2137.2,2246.9,2195.9,2229,2271.9,2613.1,3016.7,:
Cyprus,506.5,574.3,637.9,589.5,630.7,638,615.5,602.4,594.2,614,635.7,:
Czech Republic,7690.9,8892.9,9921.7,8386.6,10129.9,11854.1,12091.2,12306.6,13334.5,14194.5,14628.8,:
Denmark,7466.5,7791,8205.9,6980.6,7233.2,8035.6,8671.6,9060.2,9423,9674,9643.4,:
Estonia,968.1,1056.6,1149.8,900.5,1025,1295.8,1518,1468.9,1507.7,1463.4,1532.5,:
Finland,5841.8,5816.1,6126.9,4972,5677.8,6257.9,6610.6,6486,6500.4,6978.8,6683.8,:
France,53988.9,59878.7,61872.4,56970.6,64664.6,70933,73992.2,71149.4,71803.6,71922.6,70618.2,:
Germany,88339.9,98731.2,102619.3,91379.9,106246.9,117147.7,117080.4,116453.4,121782.7,130849,133782.9,:
Greece,7231.6,8164.7,8712.7,8011,7529.3,7212.1,6581.5,6569.5,6673.4,6806.2,6868.2,:
Hungary,5891.9,6443.8,7292.6,6078.6,7405.5,8591,8645.5,8779.7,9413,10356.9,10466.4,:
Iceland,336,365,352,267,299,322,330,342,369,430,480,445
Ireland,7936.7,8089.5,8276.2,7330.7,8755.3,10418.6,10245,10834.2,11414.8,13828.4,14642.3,:
Italy,44999.4,48001,47481.8,42850.2,50232.7,56236.7,56144.4,56235.6,55334.9,58913.7,59333.2,:
Latvia,979.1,1140.1,1302.2,982,1226.3,1393.9,1497.2,1572.9,1580.8,1616.1,1688.7,:
Liechtenstein,:,:,90,89,96,105,102,105,96,99,106,112
Lithuania,1785.1,2277.8,2433.9,1976,2440.3,2967.4,3263.7,3371,3600.6,3933.8,3819.7,:
Luxembourg,1611.3,1711,1713.6,1413.7,1694.8,1986.1,1981.1,2029.4,1989.4,2145,2154.9,:
Macedonia,290,355,417,408,501,596,574,657,624,688,724,766
Malta,292.5,336.4,347.2,316,375.5,429.4,431.3,430.3,428.1,457.8,440.3,:
Montenegro,118,152,190,168,163,170,170,179,180,194,202,228
Netherlands,38830.6,44480.5,44698.3,37889.3,43891.9,48891,51397.4,53800.3,55815.5,60796.6,61368.7,:
Norway,4659,5041,5369,4887,5649,6025,6142,6078,6156,6718,:,:
Poland,13637.2,15700,18512.5,15033.7,19144.6,21461.2,21534.5,22377.6,24181.4,24831.9,26276.3,:
Portugal,6293.5,6591.5,6952.1,6434.8,7365.8,7914.1,7794.1,7680.7,8003.8,8526.7,8629.5,:
Romania,4300.2,5255.5,6212.5,5463.5,6210.8,7261.9,7491.5,7768.9,7989.5,8612.2,9083.2,:
Serbia,1483,1897,2151,1850,1947,2143,2390,2322,2296,2486,2625,2840
Slovakia,3190.4,3867.2,4279.7,3753.4,4127.1,5014.9,5008.9,5231,5437.1,5795.2,6128.8,:
Slovenia,2248.2,2638.6,2794.3,2395.2,2868.5,3183.1,3302.8,3396.4,3541.3,3758.7,3907.9,:
Spain,28998.9,31645.3,34146.9,31635.2,35816.5,38340.1,37945.9,37612.9,38970.4,42251.8,41238.8,:
Sweden,10611.5,12033,12810,11032.2,12771.9,14270.3,14697.2,13879.2,14588.3,14627.3,14248.3,:
Switzerland,23725,26230,25333,24243,28702,31836,34134,35433,36822,37831,41590,43746
Turkey,14425,15969,17126,14412,18820,22130,22884,23818,24739,25908,24754,27621
United Kingdom,47767.8,51968.7,48584.5,45256.9,52732.9,57346.7,62119.4,57522.7,62784.5,69321.5,66064.4,:
