geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,11258,12331,13116.3,12185.5,14167.2,15705.6,16617.8,17088.7,18235.8,18343.6,18079.3,:
Belgium,83043.9,91020.9,90221.5,85558.4,97287.3,99156.5,102086.7,103094.2,104105.4,108342.3,106165.7,:
Bulgaria,761.5,1027.2,1209.4,892.5,1233,1609.4,1718.6,1813.2,2016.9,2268.7,2414,:
Croatia,757.2,849.2,944.8,726.9,1013.5,1097,1050.1,1061.2,1106.7,1365.6,1634.7,:
Cyprus,141.3,161.9,188.3,185.1,266.3,348.7,358.6,346.9,314.4,338,346.7,:
Czech Republic,4380.9,4976.5,5978.1,5049.3,6358.9,7097.4,7309.6,7474.2,8421,8497.2,8540.9,:
Denmark,9142.2,9899.6,10226.8,10238.4,11684,12771.7,14075.8,14860.2,15461.6,17133.6,17905.2,:
Estonia,387.7,447.4,535.4,420,486.4,688.3,781.4,834.8,728.3,675.9,715.1,:
Finland,3545.4,3762.4,4009.3,3556.4,4173.8,4829.9,4657.9,4604.2,4555,5666.2,5407.2,:
France,66090.8,69803.9,73431.2,67393.5,69543.4,78701.6,82876.6,82857.4,82917.9,85046.6,83958.7,:
Germany,121382.4,134795.9,140848.7,130583.8,150679.1,162073.7,169769.3,172956,179440.9,189932.2,191489.7,:
Greece,2341.2,2490.8,2433.7,2255.8,2548.5,2473.1,2478.2,2599.7,2694.5,2737,2744.6,:
Hungary,4899.3,5575.3,6122,5377.3,6771.2,8018.2,8603.6,8976.9,9343.9,10228,10308.7,:
Iceland,76,78,88,79,122,115,131,90,83,89,85,50
Ireland,39765.1,43182.2,44095.3,47325.9,52855.3,56020.1,55005.3,50327.4,51552.1,64189.4,66273.3,:
Italy,34983.3,37235.1,37085.4,32613.2,38981.9,42747.2,44943,47807.5,49929.3,50399.3,52563.3,:
Latvia,390,508.4,631.6,509.1,612.2,781.6,820.5,834.6,882.9,905.5,1002.4,:
Liechtenstein,:,:,228,257,276,287,327,290,256,304,322,303
Lithuania,1029.8,1684.6,2199.4,1622.8,2051.1,2760.7,3034.2,3025.8,3250.4,3424.2,3453.1,:
Luxembourg,785.4,864.7,817.4,759.7,880.1,965.8,1032.2,1164.8,1269.7,1551.2,1576.8,:
Macedonia,80,97,86,123,288,538,528,630,796,923,1037,1201
Malta,138.5,201.2,220.8,204.9,273.6,266.4,307.7,339.4,315.7,302,894,:
Montenegro,10,10,11,12,13,12,12,9,13,13,17,18
Netherlands,55689.9,62335.6,60456.7,51458.4,63220.9,74974.9,79827.9,79001.6,81626.4,86209.3,86201,:
Norway,2311,2865,2753,2731,3429,3295,2810,2743,2893,5782,:,:
Poland,6305.1,7508.4,9105.2,7670.6,10305.4,12114.8,13115.8,14190.4,15063.9,15849.9,16739.1,:
Portugal,2581.6,2943.4,2971,2425.8,3058.9,3816.5,3976,4221,4281.8,4388.9,4556.8,:
Romania,1465.3,1695.3,2059.6,1483,2177.4,2840.3,2962.3,2808.6,2730.2,2641.6,2470.3,:
Serbia,509,698,722,450,638,691,676,902,856,979,1131,1329
Slovakia,1820.7,2087.6,2280.7,1773.7,2264.5,2826.2,2646,3007.5,3137.4,3227.8,3198.1,:
Slovenia,2366.6,2789.2,3119.8,2859.8,3254.8,3681.3,3969.1,4277.4,4447,4535.5,4629.6,:
Spain,20380.2,23141.7,24662.7,22585.8,27626.6,29315.9,31094.5,32006.9,32812.4,34554.2,34554.1,:
Sweden,13527.2,13648.6,13651.5,12654.6,14132.1,14159.1,14788.2,14917.3,14810.4,16117.7,15720,:
Switzerland,39901,41828,45306,47291,54713,60181,65126,65414,69954,78986,86190,88298
Turkey,2850,3197,3851,3467,4577,5109,6227,6466,6902,7466,7032,7332
United Kingdom,54875.9,56926.6,54880.7,53055.5,59486.7,60974,64772.5,58279.9,59943.2,71899,64401,:
