geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,-1803,-2260,-3094,-2479,-2160,-2467,-2267,-1938,-2114,-2154,-2399,-2622
Austria,-366.8,425.5,-2042.6,-4355.4,-4865,-10050.2,-9263.9,-6115.3,-2828.7,-2942.4,-5102.1,:
Belgium,12033.7,14151,3761.8,11618.7,12457.8,6270.8,5301.1,12862.8,13313,19612.3,22943.5,:
Bosnia and Herzegovina,:,:,-4899,-3489,-3334,-3734,-3781,-3472,-3844,-3510,-3448,-3620
Bulgaria,-3676,-8349.5,-9889.9,-5176.5,-3683.7,-3141.9,-4689,-3556.7,-4074.7,-3469.2,-2136.9,:
Croatia,-8853.1,-9828.8,-11232,-7702.2,-6231.8,-6699,-6585.7,-7049.9,-6723.2,-6900.3,-7301.7,:
Cyprus,-4455.9,-5268.7,-6126.2,-4715.8,-5406.1,-4927.8,-4324.4,-3233.6,-3641.5,-3377.6,-4396.5,:
Czech Republic,1384.3,3158.6,3237.2,5669.3,4774.5,7768.8,12164.5,13564.1,15596.3,14882.7,17731.7,:
Denmark,5615.7,3753.8,5140.3,7779.6,10098.9,11638.5,11882.7,10240.6,8941,8887.1,8844.6,:
Estonia,-2992.5,-3405.6,-2426.4,-783,-525.3,-539.2,-1555.9,-1614.5,-1693.3,-1530.7,-1595.8,:
Finland,6236.6,6071.6,3177.9,1408.8,539.2,-3679.5,-2639.2,-2359.1,-1796.1,-536.2,-2939.8,:
France,-36676.9,-51987.9,-68367.4,-56062.3,-65854.1,-88761.3,-82274.9,-76738.2,-73474.7,-60398.1,-63662.7,:
Germany,160419.5,194258.5,177525.5,138868.3,153963.8,157410.6,191672.4,198655.3,216459.6,248195.7,251727.8,:
Greece,-35573.7,-40737.6,-43537.6,-34413.4,-30847.4,-24515,-21958.6,-19701.6,-21206.4,-17685.1,-18735.4,:
Hungary,-2394.8,-120.7,-296.5,3762.2,5510,7091.9,6533.3,5565.7,4287.8,5898.8,7244.3,:
Iceland,-2030,-1403,-517,324,518,362,212,162,-235,-354,-961,-1463
Ireland,28359.3,27523.9,28389,38158.9,40953,39094,37644.3,32640.1,29385.1,41808.3,44957.5,:
Italy,-20451.8,-8595.9,-13034.6,-5875.5,-29982.5,-25523.9,9889.6,29230.4,41931.6,41806.9,49643.1,:
Kosovo,-1233,-1429,-1734,-1770,-1862,-2173,-2232,-2155,-2214,-2309,-2480,-2669
Latvia,-4289.6,-5117.5,-4078.3,-1512.1,-1628.3,-2269.8,-2425.3,-2558.6,-2328.3,-2119,-1901.1,:
Liechtenstein,:,:,1128,767,1048,1105,1268,1202,1169,1219,1261,1240
Lithuania,-4166.5,-5303.3,-5067,-1326.2,-2002.4,-2674.8,-1831.6,-1663.1,-1528.1,-2495.6,-2092.6,:
Luxembourg,-3273.8,-3718.1,-4394,-2861.6,-4533,-5742.4,-6570.8,-6214.8,-5694.8,-5550.6,-5398.6,:
Macedonia,-1062,-1356,-1967,-1700,-1602,-1838,-1947,-1748,-1758,-1714,-1777,-1818
Malta,-1203.8,-995.6,-1236.6,-1161.6,-1113.5,-1369.9,-1827.1,-1886.6,-2926.3,-3087.7,-2940.6,:
Montenegro,-1016,-1618,-2114,-1377,-1327,-1369,-1454,-1398,-1451,-1524,-1736,-1932
Netherlands,37270.6,42458.1,38741.5,39244.4,46339.4,52252.3,53274.4,61636,62650.3,52512,59959.2,:
Norway,46202,40787,54980,36781,40031,50051,57131,48584,41455,24651,:,:
Poland,-12909.4,-18652.5,-26071.7,-9289.1,-13823.1,-15733.2,-10651.7,-1975,-2651.5,2350.6,4722.1,:
Portugal,-20654.2,-21632.5,-25346.5,-19681.7,-21379.5,-16723.4,-11161.1,-9709.9,-10978.4,-10710.8,-11220.6,:
Romania,-14895.4,-21762.4,-23469,-9863,-9451.3,-9658.8,-9624.7,-5757.5,-6055.1,-8359,-9970.8,:
Serbia,-5471,-6886,-8450,-5517,-5407,-5648,-5271,-2933,-2950,-2978,-2483,-3221
Slovakia,-2488.1,-1533,-1883,309.8,-273.5,-8.5,2501,3023.2,3392.7,1678.3,1853.3,:
Slovenia,-725.6,-1058.8,-1976,-357.4,-692.7,-610.4,99.6,486.1,1523.9,1905.2,2144.9,:
Spain,-91573.3,-99236.7,-94717.1,-47232.1,-54762,-50327,-32758.8,-17140.8,-25885.4,-26622.7,-19015.5,:
Sweden,16124.4,11376,10079.4,7818.2,7244.3,7138.9,6155.9,5226.1,1788.1,1451.2,-1206.4,:
Switzerland,4851,7935,11627,12205,14413,19138,12779,27640,27237,33184,29642,27637
Turkey,-43076,-45833,-46884,-27480,-53422,-76126,-65443,-75222,-63684,-56981,-50676,-67711
United Kingdom,-128834,-143328.5,-126200,-117877.1,-131525.9,-123989.9,-173123.2,-89917,-139451.2,-149811.5,-204885.3,:
