geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,37004.9,29206.9,16968.8,18119,15197,21402.3,15095.4,1720.9,-2982,17738.3,43078.3,:
Canada,30391.7,28628.2,31867,-4338.1,-4170.5,-107.4,-6434.6,-3905.4,9099.1,-9814.6,-12640.6,:
China except Hong Kong,141346.6,192589.7,202699.8,140587.6,138789.7,111346,179470,195026.7,288338.8,535289.7,460490.1,:
EU28,-216032.7,-216448.2,-276280.9,-142114.5,-177463,-175468.9,-113829.2,48799.5,10352.6,59552.5,32057,22871.3
India,-45406,-53080.8,-91005.7,-64264.8,-36373.9,-115603.1,-155208.3,-97458.2,-106755.6,-113892.5,-87070.1,:
Japan,53887.5,67189.9,12835.4,20600.8,57113,-23129.8,-68034.8,-88900.5,-91808.3,-626.3,34337.7,:
Mexico,-4878.4,-7373.4,-11774.8,-3349.7,-2396.2,-1089.2,-34.8,-949.4,-2329.7,-13187.3,-11908.4,:
Russia,130166.6,111302.8,136621.4,93898.4,126843.1,151509.4,162339.3,159868.1,158964.8,145223.7,93263.9,:
Singapore,26360.2,26371.8,12507.2,17241,30984.4,31417.5,22314.9,28035.5,32759.8,44969.3,42336.5,:
South Korea,12804.8,10678.9,-9020.3,29000.1,31057.3,22129.1,22010.3,33164.4,35768,81357.4,80617.7,:
United States,-702427.4,-623555.4,-588071.2,-390868.8,-520601,-561736.3,-614683.8,-563965.8,-595493.1,-731481.5,-719571.5,:
