geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,11751.6,11156.5,14348.6,9853.7,12154.7,15618,17111.2,14760,13023.7,10536.5,8933.7,:
Belgium,38083.1,34653.6,48719.6,31371,40843.8,54591.4,59316.6,63002.8,55878.1,41101.1,34227.5,:
Bulgaria,976.2,4348.1,5481.6,3374.5,4286.3,5379.4,6341.4,5958.3,5197.8,4102,3237.8,:
Croatia,2723.1,2862.3,3659.3,2564.8,2843.5,3553.2,3767.3,3588.9,3178,2809.8,2425.5,:
Cyprus,1011.4,1067.5,1452.3,989.7,1312.4,1582.2,1731.2,1396.4,1267.2,1121.9,1097.2,:
Czech Republic,7118.1,6901.7,10039.2,6957.1,9162.1,11638.6,12236.3,11243.4,9783.6,8364.4,6477.1,:
Denmark,3827.6,3630.6,5533.8,3812.4,4716.1,6464.9,7321.2,7748.9,6314.2,5041.7,4023.1,:
Estonia,1719.5,1579.3,1706.9,1391.7,1580.6,2089.2,2080.9,1664.8,1721,1361.9,1128.2,:
Finland,8521.8,8280.6,11024,7286.3,9526.5,13180.2,11729.1,12431.1,11309.8,7744,7181.4,:
France,60771.2,60472.8,79532.7,51886.9,62815.3,82672.5,89492.8,83353.4,72467.6,53836.4,42734.2,:
Germany,90290.2,83219.3,114171.8,77802.4,93960.3,122797,129993.9,127124,113059.6,88814.9,70513.1,:
Greece,9729.8,9915.7,13848.7,8821.4,12278.5,14814.5,18280.5,17233,16299.7,11343.5,9783.4,:
Hungary,6760.3,6607.3,9388.7,6054.6,7086.2,8991.8,9588.7,9367,9335.8,6707,5342.1,:
Iceland,181,88,218,173,116,398,480,476,487,378,316,391
Ireland,4288.3,5329.7,6574.7,4431.8,5601.3,6865.8,7120.4,6830.6,6496.3,5122.8,3753.5,:
Italy,61552,60711.3,76816.4,52262.1,67793.2,79098.7,84888.4,71939.4,58313.7,47171.9,37655.1,:
Latvia,1170.1,1202.7,1591.4,1110.5,1249.6,1848.9,2162.6,2107.1,1774.8,1446,1058.9,:
Liechtenstein,:,:,0,0,0,:,0,0,0,0,0,0
Lithuania,3466.8,2891.6,5837.1,3628.3,5654.6,7523.5,8188.1,7854.8,6049.4,5120.7,4176.1,:
Luxembourg,2048.4,2057.1,2620.8,1635.2,2041.5,2630.4,2873.7,2618.1,2282.9,1648,1319,:
Macedonia,491,555,281,442,512,658,468,300,277,199,172,189
Malta,254.3,371.2,488.5,423.2,572,1181.5,1820.6,1218.3,1456.3,1160,1118.2,:
Montenegro,110,157,152,95,64,116,113,74,61,59,53,70
Netherlands,57769.4,60465,76957.2,52851.3,73408.5,95997.2,121286.1,110521.2,98830.2,74210.6,63154.7,:
Norway,300,373,545,639,727,1170,1357,1523,1042,1355,:,:
Poland,10527.8,12005.2,16023,10064.7,14403.5,19069.4,20463.3,18015.8,17637.9,12837,10694.7,:
Portugal,8144.9,8092.8,10361.5,6498.4,8421.3,10448.9,11702.7,11150.1,10194.3,7970.9,6165.8,:
Romania,5517.3,5501.1,7090.5,3652.2,4730.8,6215.7,6689,5457.3,5456.5,4040.1,3809.3,:
Serbia,1591,1725,2336,1448,1743,1977,1592,1847,1657,1428,1083,1444
Slovakia,4763.3,4734.3,6301.1,4618.3,6186.1,8141.9,7970.9,7960.9,6293.5,5259.2,4455.6,:
Slovenia,2095.9,2071.5,2991.1,1957,2619.3,3578.7,3813.9,3422.9,3012.2,2589.5,2090.1,:
Spain,41123.4,42427.9,54925.9,33907.4,44201,56546.2,62156.4,57341,54582.8,38534.8,30530.8,:
Sweden,12688,12391.9,16618.4,9944.5,15044.6,17994.3,20699.3,17341,16571.9,12142.3,11266.3,:
Switzerland,2298,1926,2828,1555,2100,2555,2220,3109,2929,1122,879,1074
Turkey,14877,15965,19635,12661,17752,9872,10137,10182,10118,9775,8447,11497
United Kingdom,43183.8,42927.4,55762.8,35493.6,47663.8,66880.6,77434.6,69605.2,60613.7,45794.2,35686,:
