partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,4996.1,5318.2,7239,9836.7,7393.7,11531.7,13921.6,14105.2,15743.4,14780.1,13023.7,10162.3
China except Hong Kong,-44425.2,-56404.4,-65336.2,-68691.1,-53665.6,-75517.9,-63512.7,-61739.2,-53739.5,-51051,-86552.8,-81422.3
Japan,-39780.4,-42523.2,-41695.3,-39355.4,-28230,-30686.5,-29769.4,-22770.4,-17555.8,-17233.6,-19144.1,-21882.2
Norway,10420.4,11998.7,14895.9,13933.2,11289.3,13241,16048.4,16286.7,16170.9,17230.6,15888.5,16446.8
Russia,25489.7,32459.7,41904.8,51931.1,27290.4,37166.3,50623.5,59272,54617.4,45425.9,29750.2,28859.5
South Korea,-19526.5,-22809.9,-20483.7,-16372.5,-12537.8,-14712.1,-7004.1,-6927,-2681.1,-2182,-2115.7,-3050.6
Switzerland,8363.3,8038.7,7353.9,9353.3,10028.5,11433.5,12814.7,13761,13557.3,13208.4,15466.6,14767.4
Taiwan,-11428,-13391.9,-11753.8,-11305.9,-7825.9,-9284.5,-7595.2,-6486.7,-5224.8,-5808.6,-6840.1,-6010.3
Turkey,8258,8215.7,6553,6108.1,4831.5,11588.8,14830.6,13525,14738.1,10135.7,13059.8,10392.4
United States,32592,35746.1,28172.1,24277.3,15470.3,25327.1,30941.3,40487.2,46656.6,52207.2,60323.8,50824.7
