geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,80.3,79.9,78.7,78.4,78,77.4,76.5,76.6,76.8,76.8,78,:
Belgium,71.5,70.6,69.9,70.4,69.1,67.7,67.6,66.4,65,62.8,63.4,:
Bulgaria,61.4,58.8,57,60.2,58.7,59.5,58.8,59.7,61.7,64.3,66.4,:
Croatia,67.2,64.8,64.1,62.7,60.2,61.8,62.5,66.9,76.2,77.7,76.9,:
Cyprus,68.8,69.1,68,72.5,70.5,69.2,69.2,70.5,64.5,63.5,66.2,:
Czech Republic,80.6,80.2,77,78.1,75,74.7,75.4,76.8,77.4,77.3,79.2,:
Denmark,72.3,72.9,71.7,69.9,69.9,70.5,70.3,70.3,69.5,69.5,71.3,:
Estonia,74.5,78.6,79.8,80.4,79.8,76.4,77.8,82.1,81.7,81.7,81.7,:
Finland,64,64.1,62.1,65.1,64.2,61.5,62.8,66.3,68.1,73,73,:
France,69.2,69.5,68.2,69.5,68.5,67.4,67.1,67.8,67.8,68.5,69.1,:
Germany,63.8,64.7,63.7,64.7,63.3,63.5,63.6,64.7,65.5,65.6,66.3,:
Greece,59.1,58.2,55.8,57.8,52.6,51.5,46.1,47.2,48.2,52.9,54.7,:
Hungary,70.5,69.8,68.6,68.9,68,69.8,70.7,71.7,75.2,76.6,77.7,:
Iceland,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,68.5,70,69.9,65.5,65.9,66.4,64.5,67.4,67,66.1,65.5,:
Italy,58,58.1,55,57.9,55.2,54.1,53.3,55.4,57.1,58.7,60.8,:
Latvia,76.6,77.5,75.6,75.5,76.1,77.7,78.2,80,80.5,79.4,80.5,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,62.8,68.4,57.6,59.1,56.6,56.8,57.6,60.3,65.6,67.7,71,:
Luxembourg,70.6,73.7,74.7,71.4,80.2,81.6,77,79,80,72.2,77.3,:
Macedonia,:,:,:,:,:,:,:,:,:,:,:,:
Malta,70.7,74,76.4,75,70.2,73.8,77.1,71,62.7,66.8,55.9,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
Netherlands,48.7,49.2,48.1,49.1,46.9,46.7,45.4,46.3,45.8,45.8,47.1,:
Norway,:,:,:,:,:,:,:,:,:,:,:,:
Poland,73.1,73.4,71.9,72.7,70.8,70,67.7,69,69.6,70.7,72.1,:
Portugal,77,76.6,74.8,78.6,76.4,73.3,71.5,72,74.8,76.5,77.8,:
Romania,63.5,71.4,69.8,73.2,72.6,72.8,73.6,75.8,75.4,77.2,77.1,:
Serbia,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,75.4,74.8,73.2,75,72.1,73.3,73.7,74.3,76.1,78.7,80.2,:
Slovenia,82.3,78.4,75.4,75.3,72.5,72.2,72,70.1,69.1,70,70.9,:
Spain,61.8,63,59.3,62.4,59,56.9,54.2,55.3,57.3,60.7,61.9,:
Sweden,69.7,71.1,69.2,68,67.1,68.2,67.3,68.9,68.8,70,71.2,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,56.3,53.7,51.4,49.5,49,48.3,47.6,51.8,53,53.6,50.5,:
