partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,10498.5,9977.2,11270.5,15401.3,14821.2,15595.2,17311.7,21124.7,22386,23375,22240.8,20383.3
Australia,20887.3,21762.9,23906.7,26699.7,21947.5,26972.1,31173.7,33932.5,32051.2,29559,31494.6,32410.4
Brazil,16006.9,17696.4,21264,26306.9,21583.3,31478.5,35773.8,39684.5,39883.5,36926.4,34542,30877
Canada,23250.4,26005.7,25383.6,25488.4,21944.9,26780.3,29890.9,31407.4,31591.5,31642,35140.2,35201.6
China except Hong Kong,51748.9,63695.6,71823.3,78300.5,82421,113453.8,136414.8,144227,148115.2,164622.8,170356.8,169663.9
Hong Kong,20397.9,21493.8,20930.8,21786.7,19670.8,27293.4,30766.8,33699.3,35706.2,34733,35331.3,35098.3
India,21250.2,24241.2,29181,31356.1,27499.4,34984.6,40648.3,38594.9,35958.6,35636.2,38111.8,37761.3
Japan,43723.2,44753.4,43741.7,42390.4,35977.7,43984.2,49075.4,55663.1,54015.7,53305.5,56532.4,58019.3
Mexico,16839.8,19124.8,20963.4,21978.3,15989.3,21343.9,23912.5,27972.3,27400.8,28428,33612.7,33850.7
Nigeria,6013.7,7001.8,8461.3,10947.1,9254.9,10791.6,12922.3,11442,11730.6,11533.9,10750.2,8952.7
Norway,33746.4,38380,43470.5,43719,37492.3,41933.4,46818.5,49930.2,50079.4,50168.4,48779.8,48323.9
Russia,56690.3,72398.6,89196.4,104970,65697,86308,108587.4,123468.7,119447.5,103224.6,73745.3,72337.9
Saudi Arabia,15435.1,17478.3,20003.5,21140.5,19084.3,23227.3,26419.8,30091,33642.9,35091.8,40178.8,33870.7
Singapore,17311.6,19597.3,20558,22272.3,20439.5,24555.8,27265,30415.9,29128.5,28391,29843.6,31471.8
South Africa,17992.5,19851.6,20436.3,20594,15860.4,21287.2,26232.4,25580.2,24481.3,23317.9,25432,22978.8
South Korea,20239.4,22815.3,24719.3,25494.8,21599.2,27961.3,32514.5,37815.3,39911.1,43192.2,47794,44111.5
Switzerland,86284.8,88592.2,93234.3,100623.2,88796.6,110469.8,142095.3,133619.1,169142.1,140285.8,150513.4,142218.7
Turkey,44620.3,50018.1,52829.5,54476.1,44485.8,61928.7,73336.1,75491.2,77623.6,74719.1,78961.5,77889.6
United Arab Emirates,25825,25411.9,26873.9,33037.6,25512.2,28105.7,33380.3,37172.4,44606.5,42732.4,48451.8,45772.5
United States,250821,267033.9,259613.2,248057.2,203756.1,243345.2,264239.8,293475.1,289440.5,311332.5,371194.5,363518.6
