geo\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,4599.9,5233.5,6252.9,6101.9,5003.9,6007.8,7017.9,6568,6531.6,6976.2,7622.9,7657.2
Belgium,25546.6,28355,33908.4,32337.2,24080.5,30474.7,36437.6,34853.2,35041.9,39369.7,40539.3,41018.6
Bulgaria,1448.7,1908.3,2124.4,2474.4,1254,1423.2,1774.6,1794.3,1975.3,2226.8,2192.3,2325.1
Croatia,1256.6,1537.1,1868.4,1996.8,1528.7,1553.5,1732.8,1629.6,1270.5,933.8,1044.9,1200.1
Cyprus,387.2,464.1,552.5,653.3,426.2,585,406,326.6,243,265.4,268,272.6
Czech Republic,2248.6,2846.6,3679.8,4624.3,3442.6,4157.7,4671.3,4525.8,4447.3,4923,5533.2,6027.3
Denmark,5556,6296.6,6976.9,7068.5,5578.2,6677.9,7141.6,6890.5,6440.5,7034.4,7716.5,7606.7
Estonia,447.8,543,654.1,588.7,310.6,429.6,547.4,582.6,575.8,606.9,593.3,674.3
Finland,2182.5,2772.8,3286.6,3224.4,2374,2787.5,3179.2,2885,2638.1,2735.9,2744,2809.8
France,28313.3,31138.6,33253.6,33384.2,29547.8,35320.1,38972.4,39306.9,38728.3,41330.2,45236.8,44444.1
Germany,54210,63860,72744.8,73600.6,61271.5,73565.9,83737.8,79915.8,77437.4,81449.8,90769,88990.2
Greece,3810.7,4581.8,5783.2,5675.3,3952.6,4139.8,3661.5,3054.1,3057.4,3344.2,3495.8,3790.5
Hungary,2112,1860.4,2302.1,2234.4,1654.8,1880,2173.7,2444.8,2562,2584.6,2852.6,3193.2
Ireland,3471.5,3562.4,3583.7,3127.5,2787.8,2877,2785.9,2891,2894.9,3272.3,4015.9,4174.9
Italy,31800,41038.2,46237.7,44558.8,31400.2,41187.3,45459.3,39087.7,38826.5,41997.9,45840.2,43924.7
Latvia,430.3,632.2,796,817.1,417.8,640.4,840,759.8,709.7,725.8,793.1,780.7
Lithuania,579.1,718.3,908.9,909.9,516.5,673.4,853.4,918.1,953.2,1074.5,1168,1207.6
Luxembourg,375,481.3,482.6,257.2,459.5,594.3,740.4,992.1,926.1,1026.8,1274.3,1300
Malta,161.2,211.5,187.7,167.5,147.9,188,177.5,176,182.6,201.3,226,204.7
Netherlands,28426.1,35672.4,39831.5,40200.4,31412.2,41047.8,44758.6,42814.9,41848.9,46340.5,51591.2,51912.5
Poland,3792.4,4924,7079,8055.7,6001.7,7120.7,8393.6,8308.5,8265.8,10198.1,11932.2,13358.4
Portugal,2093.2,2541.5,2756.4,2583.9,1905.6,2386.1,2364.2,1907.4,2063.1,2241.5,2553,2602
Romania,2474.3,3116.4,3755.3,4429.1,2370.2,2916.3,3373.1,3088.9,3003.5,3553.1,4008.5,4311.3
Slovakia,1145.5,2092.3,1687.4,2097.4,1825.1,2356.7,2904,3653,3588.9,3772.8,3845,3829.1
Slovenia,732.9,956.1,1245,1419.2,1062.5,1445.3,1727.5,1675.5,1710.5,1837.6,2070.6,2172.1
Spain,17647.9,21623,24553.5,22880.2,17119.9,20851.6,22555.3,20931.8,20845.4,23664.1,27749.4,28862.8
Sweden,7117.7,8384.6,9575.1,9262.9,7426,9417.4,10131.9,10112.7,9157.3,9393.8,10401.2,10209.4
United Kingdom,57989.7,64064.9,66641.9,60448.4,51219.9,61432.6,64709.1,67781.9,65999.2,65176.6,73465.4,71234.5
