geo\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,27087.4,29155.3,31224,32668.8,26687.6,31929.4,36518.6,38834.3,39451.6,40398.2,41237.4,40336.7
Belgium,62332.6,68700.1,74962.6,73961.4,64707.2,82933.6,95676.2,104037.5,105383.3,104083.7,100649.2,99461.8
Bulgaria,3553.3,4416.2,5166.5,5959.1,4035.2,6010.2,7576,8533.1,8921.2,8278.9,8024.7,8090.9
Croatia,2594.9,2944.4,3574.6,3742.7,2967.6,3466,3846.4,4026.4,3632.1,3813.3,3976,4306.6
Cyprus,314.6,314.7,286.2,339.5,297.1,356.3,417.1,532.3,639.5,1136.3,1651.8,1377.5
Czech Republic,8748.1,10433.7,12712.7,14592.7,12023.4,15706.9,19464.6,22849.9,23066.3,23422.1,23803.8,23983.1
Denmark,19953.5,21209.9,22401,23888.3,21769.8,24954,27813.6,30188,30336.5,30447.7,33269,33028.8
Estonia,1352.5,2653.2,2388.2,2532,1975.6,2744.8,4045.3,4253.8,3569.3,3352.5,2879.5,3109.9
Finland,22711.7,26226.3,28307.2,28851.7,19958.9,23901.9,25117.6,26338.9,25068.7,23892.5,22159.7,21378.9
France,135595.5,135769.4,140288,150941.1,130305,154153,167091.8,181734.3,177614.7,174311.7,187828.6,183766.7
Germany,276556.4,318612.8,337439.1,357670.6,300044,376680.4,428902.4,470952,469441,476440.1,503014.2,499720.2
Greece,5314.6,5774.9,6984.3,8356.1,7395.6,9660.3,11750,15346.1,14445.7,14017.1,11853.1,11130.7
Hungary,8942,11566.9,13611.7,14935.7,11794.7,15554.9,18226.1,18213.6,17941.3,16654.6,16606.6,17122.8
Iceland,:,:,:,:,:,:,:,:,:,:,:,:
Ireland,31880,31732.3,32368,31737.4,32220.6,37501.6,38400,37731.3,37612,41085.5,52288.9,58927.2
Italy,113931.2,126228.4,139763,148677.3,121410.3,141884.6,162970.1,178314.7,180404,180046.7,186316,183856
Latvia,970.6,1347.2,1665.7,2165.7,1784.9,2351.4,3205.9,4000.5,3656.9,3451.9,3371.6,3330.6
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Lithuania,3252.8,4088.3,4398.6,6374.3,4205,6097,7779.6,9121.9,10932.2,11003,8855.2,8886
Luxembourg,1616.4,1957.3,2039.1,2012.6,1937.9,2403.1,2965.2,3082.7,2634.7,2523.8,2471.6,2460.6
Macedonia,:,:,:,:,:,:,:,:,:,:,:,:
Malta,923.1,1070.4,1397.2,1411.5,1228.1,1590.6,1854.6,2015.5,1509.2,1101.5,1275.8,1659.6
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
Netherlands,65543.8,76631.7,87732.4,90803,80214.8,98230.4,109713.4,123708.2,123092.8,122108.7,124664.6,124015
Norway,:,:,:,:,:,:,:,:,:,:,:,:
Poland,15144.1,18283.8,21251.4,25356,19665.8,24902.8,29543.7,34320.3,38588.3,37424.4,37082.8,37402.4
Portugal,6133.7,7777.2,8753.8,9922.1,7791.3,9151.2,10939.9,13087,14028,14008.9,13562.9,12450.9
Romania,6470,7565,8158.9,9822.8,7412.5,10287.9,13000.3,13314.8,15065.1,15182.3,14365.7,14312.1
Serbia,:,:,:,:,:,:,:,:,:,:,:,:
Slovakia,3182.4,4233.4,5463,6864.3,5509.6,7447.7,8539.6,9952.9,11009,10171.8,9858.9,10192.2
Slovenia,3520.3,4231.8,4988.4,5483.9,4308.2,4937.8,5661.5,6257.7,6444.6,6696.1,6924,7334.6
Spain,42597.4,48830.8,53745.3,57953.3,48998.1,59915.5,73294.4,83478.7,88797.6,88493.1,88955.7,86998.6
Sweden,42999.4,46759,47683.1,49624,38929.9,51214.6,58954.8,57744.4,53380.1,51472.7,52432.1,51458.9
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,136254.8,133971.1,135728.1,142499.4,114382.6,148087.1,181242.3,182957.9,229835.1,198223.1,230493.8,194458.8
