partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China except Hong Kong,10272.7,12424.2,13523.6,14381.1,14740.2,18528.9,22697.5,24868.8,26179.4,27103.3,28171.1,29460.6
Hong Kong,7341.3,7912.6,8231.9,8225.9,7202.2,9632.3,11202.7,12206.7,12539,13768.1,15350.5,14885.5
India,10246.3,9956.5,11460,11816.6,9738,13182.7,16244.5,15076.5,15172.3,14568.6,14377.9,13879.4
Japan,12705.1,13284.3,11839.9,11070.5,9209.8,11031.4,12074.3,13626.6,12665.9,12759.9,13152.4,13252.3
Norway,10661.1,12031,13533.3,13579.8,11546.2,12225.2,13732.2,15047,14940.3,14897.3,14532.7,14219.6
Russia,14793,18954.2,23053.9,25803.9,16379.8,20327.2,24661.9,27401.7,27436.1,24646.3,17867.9,17419.3
South Korea,6089.6,6560,5779.6,5843.4,4894.8,5759.9,6733.3,7675.1,7963.4,8307.5,9126,9184.8
Switzerland,26603.4,29205.9,31503.1,33190.3,28584.9,33467.5,38919.1,41017.2,40207.5,41138.6,43741.8,43915.2
Turkey,10233.5,11734.3,13004.2,12784.3,10504.2,13665,15836.1,16555,17469.1,16984.6,17303,16494.4
United States,58212.5,61061.7,58657.7,52723.2,40387.3,50922,56255.2,62925,63113,68757.3,78623.7,77280.6
