partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,3226.5,3659,4324.7,5097.4,5079.2,6869.3,7562.3,8805.8,8859.4,8918.8,8980.3,8274.2
China except Hong Kong,5183.5,6067.3,7408.6,8353.4,10108.8,12461.6,14814.9,16881.4,17369.7,18863.4,21038.4,21875.2
India,1923.7,2197.8,2480.8,3007.6,2991.3,3865.6,4248.2,4464.1,4376.3,4734.5,5042.6,5203.9
Japan,8884.4,9060,8689.8,8617.3,9494.1,11807.9,13097.9,14500.8,13474.3,12060.3,14791.8,14471.7
Russia,8251.1,10968.3,12439.7,13830.8,11412.2,15655.6,17975.9,19603.1,20116.4,19134.1,15720.2,15672.5
Saudi Arabia,2092.7,2300.6,2440.1,2776.3,2984.1,3701,4169.3,4888.3,4895.5,5008.5,6290,5279.9
Singapore,2474.1,2606.1,2528.2,2538.3,2535.5,3288.8,3745.3,3901.9,3864.8,4010.5,4254.7,4347.3
Switzerland,16412.8,18245.5,19963.4,17899.8,17605.9,20770.6,23577.8,25087.7,25517.1,26244,27377.8,30612.5
Turkey,7901.7,8747.5,9203.5,9249.8,8556.5,10674.7,11936.1,12237.3,12380,12678.3,13015.2,12797.7
United States,48347.8,54316,55021.2,52760.6,53516.3,60419.2,62184.6,66830.4,62038.4,67304.8,88988.1,85943.6
