geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,-9281.7,-7946.3,-10197.4,-6817.4,-8556.9,-11379.2,-12457.1,-11277.9,-9839.5,-7865,-6636.2,:
Belgium,-14787.8,-12556.3,-18745.8,-11286.6,-13482.1,-17588.6,-19398.4,-17752.9,-15403.8,-11198.6,-9319.7,:
Bulgaria,619.3,-2352.9,-2981.6,-1862.7,-2184.1,-2591.8,-2891.9,-2608.6,-2390.7,-1722.4,-1156.4,:
Croatia,-1474.2,-1697.2,-2437.2,-1600.1,-1730.4,-2398.4,-2447.2,-2219,-1736.2,-1516.1,-1247.7,:
Cyprus,-806.1,-899.1,-1221.8,-854.8,-1150.2,-1332.4,-1470.4,-1150.3,-1032.9,-721.9,-627.3,:
Czech Republic,-4916.7,-4463.4,-6649.1,-4020.2,-5442.9,-7183.4,-7513.8,-7511.8,-6196,-4095,-3628.2,:
Denmark,4514.8,4238.4,3963.1,2308,2237.2,1625.9,1938.4,813.4,90.6,110,-26.3,:
Estonia,-475.1,-577.3,-680.6,-318.3,-225,-62.9,-241.6,-420.9,-419.4,-308.8,-212.7,:
Finland,-5225.7,-4658.2,-6415.4,-4337.5,-5256.3,-7350.4,-5150.8,-5234.9,-4956.3,-3854.4,-2992.9,:
France,-44497.8,-43364.1,-56505.8,-38288.8,-47344.1,-62138.4,-68185.3,-64701.3,-54279.1,-39140.5,-31553.9,:
Germany,-67186.8,-60148,-87723.9,-60430.8,-73584.9,-95683,-98114.9,-96387.5,-83187.3,-59733.8,-47434.9,:
Greece,-7546.4,-6644.7,-9272.5,-5286.1,-6857.3,-7414.7,-7631.2,-6635.5,-6042.6,-3745.5,-2886.9,:
Hungary,-5698.1,-4659.4,-6702,-4588.9,-5055.7,-6089.7,-6304.1,-6431.6,-6496.7,-4610.4,-3610.2,:
Iceland,-159,-65,-194,-164,-100,-368,-440,-445,-447,-340,-288,-362
Ireland,-3726.1,-4643.1,-5742.6,-3837,-4706.3,-5612.3,-5273.7,-5709.3,-5260.6,-4054.7,-2938,:
Italy,-49347.5,-46259.6,-58360.7,-41234.8,-51382.7,-59809.2,-61526.5,-53159.6,-42444.5,-33051,-26199.7,:
Latvia,-919.4,-979.1,-1345.9,-830.5,-876.3,-1110.6,-1342.2,-1273.3,-988.4,-788.7,-582.7,:
Liechtenstein,:,:,1,1,1,2,2,3,3,4,4,4
Lithuania,-798.8,-1211.3,-1870.3,-1108.8,-1982.3,-2382.4,-2497.4,-2141.1,-1714,-1339,-1001.3,:
Luxembourg,-1966.7,-1967.5,-2519.3,-1524,-1942.4,-2534.5,-2777.3,-2523.5,-2195,-1593.1,-1311.6,:
Macedonia,-327,-437,-247,-299,-341,-409,-300,-229,-229,-156,-134,-128
Malta,-244.6,-83.5,-142.8,-3.5,69.9,-194.5,-875.2,-704.3,-1263.9,-848.8,-896,:
Montenegro,-106,-155,-150,-92,-49,-70,-74,16,-17,-19,-12,-37
Netherlands,-6384.5,-7324.3,-4360.2,-4464.2,-9321,-12475.5,-16769.7,-8949.9,-10512.9,-7251.4,-4607.7,:
Norway,7457,7478,6106,4401,3866,6604,7002,5021,3699,2533,:,:
Poland,-6559.5,-8105.8,-11090.2,-7051.8,-9449.5,-12435.9,-13299,-10677.3,-10763.8,-6952.7,-6099.4,:
Portugal,-6257.9,-6368.2,-8204.2,-4958.1,-6032.4,-7378.7,-7942.1,-6227.4,-6177.4,-4115.7,-2993.1,:
Romania,-2920.1,-3266,-4031.3,-1916.8,-2752.2,-3617.3,-4056.8,-2728.9,-2120.2,-1460.6,-1604.2,:
Serbia,-1461,-1584,-2133,-1263,-1537,-1735,-1424,-1593,-1502,-1291,-950,-1282
Slovakia,-2865.3,-2740.4,-3865.6,-2792,-3843.1,-4533.5,-4295.6,-4368.9,-3236.4,-2774.3,-2157.4,:
Slovenia,-1590,-1642.3,-2338.3,-1427.9,-1818,-2287.2,-2434.3,-1989.1,-1525.8,-1203.5,-842,:
Spain,-32289.4,-32264,-40702.7,-24719.1,-31611,-40059.9,-39117.6,-34521.7,-30144.4,-21578.4,-16736.1,:
Sweden,-5732.2,-5618.4,-6743.4,-3818.5,-6065.6,-7275.6,-7194.1,-6666.7,-5721.2,-3836.2,-3676.8,:
Switzerland,-2102,-1741,-2561,-1393,-1890,-2292,-1890,-2796,-2608,-872,-680,-820
Turkey,-13091,-13413,-15993,-10541,-15033,-6417,-6006,-6842,-7149,-7017,-6433,-8825
United Kingdom,-7616.9,-8839.8,-12860.6,-6483.3,-7990.1,-19486.9,-25443.7,-22604.8,-18799.3,-15850.4,-11977.1,:
