geo\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,-3593.9,-4665.4,-4684.9,-6357.4,-4177.2,-5031.5,-7056.3,-8110.8,-6728.3,-5678.4,-4413.6,-3466.1
Belgium,-6450.8,-6081.5,-3236,-6361.6,-4523.3,-4404.2,-5365.9,-4508.5,-3666.6,-1614.3,-2233.3,-2145.6
Bulgaria,316.9,745,-2320.7,-2949.3,-1895.7,-2099,-2597.6,-2749.4,-2449,-2064.8,-1691.5,-1082.4
Croatia,-1000.5,-1169.8,-1361.4,-1586.9,-1341.4,-1356.2,-1299.7,-1154.3,-1453.3,-1066.8,-860.5,-783.6
Cyprus,-451,-539.6,-585.6,-661.4,-392.6,-621.2,-715,-800.7,-638,-416.6,-161.3,-182.9
Czech Republic,-3562.5,-4631.7,-4235.3,-6640.1,-3967.6,-5452.9,-6130.6,-6767.1,-6230.9,-5494.2,-3666.3,-1899.2
Denmark,-1572.4,-1463.8,-1498.3,-2405.9,-1289,-1553.7,-2555.1,-3003.5,-3660.9,-2852.6,-2573.2,-2065.3
Estonia,-195.3,-113.7,-167.6,-204.7,37.4,86.6,-40.5,-142.6,-242.5,-237.1,-145,-94.3
Finland,-3951.3,-5802.8,-5545.5,-8263.8,-5543.9,-7402.5,-10187.8,-7931.1,-7515.8,-6477.6,-4542.8,-4212.5
France,-29400.5,-34947.2,-35110.8,-46992.2,-29593.4,-36061.3,-48434.1,-47631.7,-44544,-40697.1,-28032.9,-22140.6
Germany,-39083.6,-50159.3,-46159.6,-65691.5,-44056.9,-51257.3,-66863.6,-69062.8,-66501.5,-59214.3,-43109.7,-34607.8
Greece,-6199.9,-7590,-7116.4,-10301.4,-5885.5,-7351.7,-7761.4,-7861.4,-7554.2,-6987.1,-4636.7,-3631.1
Hungary,-2044.6,-4904.1,-4528.3,-6549.9,-3921.5,-4601.4,-5746.6,-5729.4,-5811.3,-5020.9,-3093,-2378.3
Ireland,-856.7,-1054.2,-849.4,-1057,-865.1,-1249.7,-1312,-2103.6,-1181.1,-1120.2,-1138.1,-1142.1
Italy,-38792,-49610.3,-48697.8,-60991.1,-40811.2,-52511.5,-58984.4,-61582,-49761.9,-39545.4,-30562.3,-25674.8
Latvia,-553.4,-651.3,-619.8,-825.7,-619.4,-607.2,-643.4,-727.5,-695.5,-652.3,-535.6,-364.7
Lithuania,-2010.3,-2313.9,-2215.7,-4513.2,-2775.9,-4195,-5681.8,-6327.3,-5388.9,-3973.2,-3002.5,-1913.6
Luxembourg,-0.2,-0.3,0,0.1,0.1,0,0,0,0,0.1,0.1,0
Malta,-8.8,0.2,264.2,334.2,329.4,483,637,558.1,70.8,-412.8,-55.4,-173.6
Netherlands,-23368.9,-29649.8,-29117.9,-39661.2,-25434.6,-34819.2,-46593.8,-56663.6,-48709.7,-46021.3,-33104.4,-24580.8
Poland,-7085.2,-7742.3,-8318.1,-11188.9,-7019.3,-10899.9,-14460.1,-16397.6,-13672.6,-13380,-9437.4,-7595.4
Portugal,-4275.7,-4894.7,-4961.7,-6467.8,-4006,-4914.1,-6206,-6819.8,-6221.6,-5596.3,-4086.2,-3062.8
Romania,-2865.2,-3363.3,-3514.3,-4372,-2052.3,-2592,-3111.8,-3221.6,-2330.5,-2246,-1520.5,-1735.4
Slovakia,-2779.8,-3722.8,-3579.8,-4807.2,-3279.4,-4204.9,-5777.6,-5540.2,-5677.8,-4324,-3101.9,-2278.8
Slovenia,-429.8,-563.4,-546.8,-1134.8,-843.9,-1057,-1087.7,-1062.8,-1269.3,-1145.9,-695.6,-544.1
Spain,-24687.2,-30915.1,-28574.2,-38421,-23336.2,-30069.5,-38263.8,-42008.7,-38272.7,-33359.3,-23549.2,-18656.7
Sweden,-4121.6,-4556.7,-4002.7,-6551.2,-4209.7,-5787.6,-7557,-8571.9,-7593.3,-7836.7,-5506.7,-4462.3
United Kingdom,-19002.4,-25570.4,-23888.8,-30816.3,-19765.4,-26470.6,-40828.5,-45596.2,-40143.7,-37667.6,-27483.2,-19195.8
