partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,7262.8,8276.9,9996.7,12179.2,7816.6,11316.2,13543.7,12294,9718.4,10619.6,9644.2,8373.9
Canada,3144,3557.8,4689.6,4686.6,2629.9,4656.5,5419,4660.9,4528.3,3858.9,3892.6,3888.7
China except Hong Kong,2419.3,2575.6,2796.4,2948.9,1949.4,2686.8,3187,2938.5,2657.4,2785.1,2948.1,2804
Indonesia,2425.1,2918.3,3216.1,3405.4,3133.1,3932.9,4930.6,3960.5,4202.7,4078.1,3764.3,3275.8
Norway,1314.3,1312.5,1394.8,1469.6,1130.1,1502.3,1812.8,1892.1,1853.6,1877.1,1858.5,1674.2
Russia,4365,4919,5051.2,5074.9,2514.8,3944.4,4466.8,4489.6,4112.4,3712.1,3395.4,3526.2
Switzerland,904.7,1186.6,1422.2,1379.4,926.9,1389.4,1563.3,1510.8,1441.6,1469.6,1305.1,1249.9
Turkey,924.2,1146.9,1230.1,1014.3,644.1,1098.5,1223.5,1146.2,1338.8,1295.2,1289.3,1290.1
Ukraine,1460.2,1820.6,2271.4,2981.3,2007.5,2976.8,3501.8,3673.9,3559,3219.9,3042.7,3399
United States,6285.5,7846.1,8839,9045.2,5386.9,7608.7,8959.1,8511.5,9239.6,8914.2,9766.2,9505.2
