partner\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,-15168.4,-17058,-14329.4,-19511.5,-16557.6,-19681.2,-26258.5,-29613.6,-29093.9,-27232.5,-18459.8,-14568
Azerbaijan,-2350.1,-5066.7,-7177,-10530.1,-7440.1,-9951.4,-15365.2,-14128.4,-14185.1,-12997.4,-10436.6,-7424.8
Iraq,-3571.8,-5013.5,-6797.6,-9154.7,-6341.4,-7092.9,-9660.5,-12668.4,-10423.8,-11461.3,-12050,-10350.5
Kazakhstan,-8993,-11635.1,-11044.9,-15349.3,-9689.9,-14227.6,-20882.6,-22610,-22221.1,-22134.9,-14182.4,-10726.2
Libya,-17962.8,-22914.4,-23854.1,-30296.9,-19458.9,-27170.3,-9692,-30539.2,-20815.2,-10715.6,-5973.1,-3608
Nigeria,-6557.8,-9088.6,-7281.8,-11298.1,-6465.6,-8932.3,-17751.7,-27617.8,-23366.5,-23361.2,-13473.7,-6017.8
Norway,-38730.5,-46663.8,-44073.8,-54065.2,-35868.9,-41823.8,-53566.1,-55818.3,-50049.4,-47028.8,-35332.1,-28801.5
Russia,-76784.3,-96395.4,-97419.4,-125449,-88389.7,-120581.3,-152424.2,-162972,-159543.8,-135957.7,-91767.4,-77573.9
Saudi Arabia,-18720.1,-19666.5,-15028.3,-18350.2,-9194.1,-12204.3,-22679.6,-28768.6,-23605.6,-22212.9,-14586.8,-13404.2
United States,12907.5,14200.3,14384.7,12242.2,5693.8,5811.8,1484.7,-234.5,-1714.2,-146.7,-855.6,-343.6
