Data:,Imports of goods and services in % of GDP
Unit:,
Type:,
Source of Data:,Eurostat
Last update:,16.02.2018
Date of extraction:,22 Feb 2018 12:49:19 CET
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tet00004
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm
Short Description:,This indicator is the value of imports of goods and services divided by the GDP in current prices.
Code:,tet00004
